  Configurations: 840
  sell_pressure: 0.50 – 1.00 (step 0.10)
  base_spread: 0.10 – 0.30 (step 0.05)
  max_change: 0.50 – 2.00 (step 0.25)
  trend_dampening: 0.000 – 0.150 (step 0.050)
  Duration: 2016 ticks (7 days)
sell_pressure_multiplier,base_spread,max_price_change_percent,trend_dampening,avg_price_displacement_pct,avg_volatility,avg_final_bpd_pct,avg_final_spd_pct,final_gdp,final_debt,debt_gdp_ratio,total_tx,buy_ratio,stable,active_loans,defaulted_loans
0.50,0.25,1.25,0.000,-42.62,0.0122,5.442,6.582,8241.80,67956.78,8.245,1165,0.433,1,7,0
0.50,0.25,1.25,0.050,-43.23,0.0117,5.735,6.665,4469.79,213916.23,47.858,1602,0.409,1,8,0
0.50,0.25,1.25,0.100,-40.43,0.0114,6.000,6.393,35180.95,167905.20,4.773,1839,0.444,1,8,0
0.50,0.25,1.25,0.150,-57.52,0.0116,8.188,9.037,4870.75,88323.09,18.133,1061,0.338,1,8,0
0.50,0.25,1.50,0.000,-50.44,0.0153,5.019,5.604,16534.44,154443.28,9.341,1164,0.443,1,8,0
0.50,0.25,1.50,0.050,-42.98,0.0129,5.165,5.319,15300.01,44014.15,2.877,783,0.504,1,8,0
0.50,0.25,1.50,0.100,-50.16,0.0046,3.910,4.218,9980.83,123223.55,12.346,993,0.484,1,8,0
0.50,0.25,1.50,0.150,-41.92,0.0040,3.969,4.175,170950.71,310731.97,1.818,2165,0.433,1,8,0
0.50,0.25,1.75,0.000,-53.92,0.0074,5.950,6.372,7724.21,72762.77,9.420,647,0.553,1,8,0
0.50,0.25,1.75,0.050,-47.79,0.0062,4.508,4.917,11229.26,149947.24,13.353,845,0.538,1,8,0
0.50,0.25,1.75,0.100,-47.21,0.0128,5.552,6.110,9119.36,127083.61,13.936,1345,0.419,1,7,0
0.50,0.25,1.75,0.150,-51.50,0.0119,5.511,5.899,7571.23,83746.68,11.061,1200,0.450,1,8,0
0.50,0.25,2.00,0.000,-47.37,0.0115,5.339,5.875,20787.80,172274.74,8.287,1351,0.482,1,8,0
